# Text Cleanup report
Version	0.5
Input	/Users/michael/Documents/Msc/IQSS/general/historical-text-cleanup/data/70Election/1.txt
Output	/Users/michael/Documents/Msc/IQSS/general/historical-text-cleanup/data-clean/1.txt
# Counts
Pass	11603
Fixed	748
Unfixable	1
Original length	66619
Total Levenshtein dist	1591
# Fixes
Original	Fix	Heuristic
ism.	isa.	TextCoreSpellCheckHeuristic
curonic	chronic	SpellCheckersHeuristic (dist:5)
tne	tine	SpellCheckersHeuristic (dist:5)
intlamea	inflame	SpellCheckersHeuristic (dist:5)
 # alternatives
	inflamed	SpellCheckersHeuristic (dist:5)
jomtes	comte	SpellCheckersHeuristic (dist:5)
tenaer	tenant	SpellCheckersHeuristic (dist:5)
definitejor	definite jor	WordUnmergerHeuristic
joinU	joins	SpellCheckersHeuristic (dist:5)
Uie	une	SpellCheckersHeuristic (dist:5)
Uiat	fiat	SpellCheckersHeuristic (dist:5)
enrome	en rome	WordUnmergerHeuristic
tne	tine	SpellCheckersHeuristic (dist:5)
ueart,	heart,	TextCoreSpellCheckHeuristic
daraugement	derangement	SpellCheckersHeuristic (dist:5)
inflaraation	inflammation	SpellCheckersHeuristic (dist:5)
hbrous	fibrous	SpellCheckersHeuristic (dist:5)
witn.	with.	TextCoreSpellCheckHeuristic
self-limited	sell-limit ed	TextCoreSpellCheckHeuristic
Sydenham	denham	SpellCheckersHeuristic (dist:5)
montns.	months.	TextCoreSpellCheckHeuristic
oucu	oui	SpellCheckersHeuristic (dist:5)
somplain,	complain,	TextCoreSpellCheckHeuristic
cribeil	cribbs	SpellCheckersHeuristic (dist:5)
afllicted	afflicted	SpellCheckersHeuristic (dist:5)
generaily	generally	SpellCheckersHeuristic (dist:5)
tne	tine	SpellCheckersHeuristic (dist:5)
siier	sieur	SpellCheckersHeuristic (dist:5)
mey	amey	SpellCheckersHeuristic (dist:5)
lubri	lub ri	WordUnmergerHeuristic
cating	ca ting	WordUnmergerHeuristic
 # alternatives
	cat ing	WordUnmergerHeuristic
unoiled.	un oiled.	TextCoreSpellCheckHeuristic
ruptur	rupture	SpellCheckersHeuristic (dist:5)
wea	weak	SpellCheckersHeuristic (dist:5)
 # alternatives
	we a	WordUnmergerHeuristic
tlirr.	tliat.	TextCoreSpellCheckHeuristic
lonir	lon ir	WordUnmergerHeuristic
sutler	sutter	SpellCheckersHeuristic (dist:5)
iersor,9	pierson,9	TextCoreSpellCheckHeuristic
sutler	sutter	SpellCheckersHeuristic (dist:5)
neuralcia.	neuralgia.	TextCoreSpellCheckHeuristic
t-old.	colds	SpellCheckersHeuristic (dist:5)
 # alternatives
	tat-ole.	TextCoreSpellCheckHeuristic
rheuniatise	rheumatism	SpellCheckersHeuristic (dist:5)
namere	na mere	WordUnmergerHeuristic
 # alternatives
	name re	WordUnmergerHeuristic
ceneral	general	SpellCheckersHeuristic (dist:5)
tliev	tliat	SpellCheckersHeuristic (dist:5)
irritants,	irritate,	TextCoreSpellCheckHeuristic
6timnlating	stimulating	SpellCheckersHeuristic (dist:5)
 # alternatives
	6stimulating	TextCoreSpellCheckHeuristic
lini	lind	SpellCheckersHeuristic (dist:5)
 # alternatives
	li ni	WordUnmergerHeuristic
	lin i	WordUnmergerHeuristic
lv	alv	SpellCheckersHeuristic (dist:5)
frictions,	friction,	TextCoreSpellCheckHeuristic
frictions.	friction.	TextCoreSpellCheckHeuristic
Yuba	cuba	SpellCheckersHeuristic (dist:5)
ihey	ihe	SpellCheckersHeuristic (dist:5)
 # alternatives
	i hey	WordUnmergerHeuristic
apjcared	appeared	SpellCheckersHeuristic (dist:5)
Alarysville,	louisville,	TextCoreSpellCheckHeuristic
traiu	trail	SpellCheckersHeuristic (dist:5)
ma-shed	mashed	SpellCheckersHeuristic (dist:5)
tr	try	SpellCheckersHeuristic (dist:5)
TIlRfcE	tillage	SpellCheckersHeuristic (dist:5)
TMXGS.	tings.	TextCoreSpellCheckHeuristic
MB.	mab	SpellCheckersHeuristic (dist:5)
 # alternatives
	mab.	TextCoreSpellCheckHeuristic
ioint	joint	SpellCheckersHeuristic (dist:5)
lnrfvidual.	individual.	TextCoreSpellCheckHeuristic
tty	thy	SpellCheckersHeuristic (dist:5)
saia	said	SpellCheckersHeuristic (dist:5)
 # alternatives
	sa ia	WordUnmergerHeuristic
6ue	cue	SpellCheckersHeuristic (dist:5)
 # alternatives
	6uel	TextCoreSpellCheckHeuristic
iter	item	SpellCheckersHeuristic (dist:5)
 # alternatives
	i ter	WordUnmergerHeuristic
	it er	WordUnmergerHeuristic
dead-latch	deac-batch	TextCoreSpellCheckHeuristic
tobacco-pouch,	tobias-porch,	TextCoreSpellCheckHeuristic
undei	under	SpellCheckersHeuristic (dist:5)
 # alternatives
	un dei	WordUnmergerHeuristic
prosiness,	drowsiness,	TextCoreSpellCheckHeuristic
perspicacity	perspicuity	SpellCheckersHeuristic (dist:5)
lyceums	lyceum	SpellCheckersHeuristic (dist:5)
don't	do n't	WordUnmergerHeuristic
I'm	i'se	SpellCheckersHeuristic (dist:5)
thouch	though	SpellCheckersHeuristic (dist:5)
 # alternatives
	thou ch	WordUnmergerHeuristic
Jiot	jist	SpellCheckersHeuristic (dist:5)
undesignedly,	un designedly,	TextCoreSpellCheckHeuristic
brother's	brothers	SpellCheckersHeuristic (dist:5)
cannot	cannon	SpellCheckersHeuristic (dist:5)
 # alternatives
	can not	WordUnmergerHeuristic
Smith's	smiths	SpellCheckersHeuristic (dist:5)
untempted	un tempted	WordUnmergerHeuristic
emitn	emit	SpellCheckersHeuristic (dist:5)
unsulsied	unsullied	SpellCheckersHeuristic (dist:5)
Bygones	bygone	SpellCheckersHeuristic (dist:5)
bycones.	by cones.	TextCoreSpellCheckHeuristic
deffth	defects	SpellCheckersHeuristic (dist:5)
crony	crone	SpellCheckersHeuristic (dist:5)
sky-larking	say-larkin	TextCoreSpellCheckHeuristic
engrosses	engrossed	SpellCheckersHeuristic (dist:5)
 # alternatives
	engross es	WordUnmergerHeuristic
cannot	cannon	SpellCheckersHeuristic (dist:5)
 # alternatives
	can not	WordUnmergerHeuristic
Kod	kid	SpellCheckersHeuristic (dist:5)
ihen	ihe	SpellCheckersHeuristic (dist:5)
 # alternatives
	i hen	WordUnmergerHeuristic
breass	breast	SpellCheckersHeuristic (dist:5)
evening's	evenings	SpellCheckersHeuristic (dist:5)
latch-kev.	batch-keg.	TextCoreSpellCheckHeuristic
boueht	bought	SpellCheckersHeuristic (dist:5)
sayj	says	SpellCheckersHeuristic (dist:5)
creat	creak	SpellCheckersHeuristic (dist:5)
 # alternatives
	create	SpellCheckersHeuristic (dist:5)
cannot	cannon	SpellCheckersHeuristic (dist:5)
 # alternatives
	can not	WordUnmergerHeuristic
cannot	cannon	SpellCheckersHeuristic (dist:5)
 # alternatives
	can not	WordUnmergerHeuristic
witn	with	SpellCheckersHeuristic (dist:5)
 # alternatives
	wi tn	WordUnmergerHeuristic
dui	dub	SpellCheckersHeuristic (dist:5)
 # alternatives
	du i	WordUnmergerHeuristic
nostrums	nostrils	SpellCheckersHeuristic (dist:5)
cannot	cannon	SpellCheckersHeuristic (dist:5)
 # alternatives
	can not	WordUnmergerHeuristic
cannot	cannon	SpellCheckersHeuristic (dist:5)
 # alternatives
	can not	WordUnmergerHeuristic
nachelor	bachelor	SpellCheckersHeuristic (dist:5)
mancing	mincing	SpellCheckersHeuristic (dist:5)
villian,	vill ian,	TextCoreSpellCheckHeuristic
inuen	inure	SpellCheckersHeuristic (dist:5)
wifigoverned,	governed,	TextCoreSpellCheckHeuristic
cannot	cannon	SpellCheckersHeuristic (dist:5)
 # alternatives
	can not	WordUnmergerHeuristic
pre-matrimoniallarks	pro-matrimonial larks	TextCoreSpellCheckHeuristic
mole-hills,	mold-hilly,	TextCoreSpellCheckHeuristic
confrout	confront	SpellCheckersHeuristic (dist:5)
Bessie's	bessie	SpellCheckersHeuristic (dist:5)
 # alternatives
	jessie'ses	TextCoreSpellCheckHeuristic
n.T	n't	SpellCheckersHeuristic (dist:5)
an'ifc	ana'inc	TextCoreSpellCheckHeuristic
woman's	womanly	SpellCheckersHeuristic (dist:5)
tne	tine	SpellCheckersHeuristic (dist:5)
SMITH'S	smiths	SpellCheckersHeuristic (dist:5)
iiessie	bessie	SpellCheckersHeuristic (dist:5)
month's	months	SpellCheckersHeuristic (dist:5)
